Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-8.3591E-08,0.0010717,0.00033885,0,0,0,0.41372,0.00026854,-1.6836E-06,-9.0148E-10,0.00011738,4.6547E-07,0.0003447,0,0,0,0,0,0,package://dog_1.SLDASM/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://dog_1.SLDASM/meshes/base_link.STL,,body_struct-1,cod_body <body_struct-1>,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
leg_ab_FL,-0.017463,0.040247,0.00023921,0,0,0,0.13142,1.3729E-05,9.8297E-08,4.2552E-07,3.8003E-05,-2.5794E-07,3.9203E-05,0,0,0,0,0,0,package://dog_1.SLDASM/meshes/leg_ab_FL.STL,1,1,1,1,0,0,0,0,0,0,package://dog_1.SLDASM/meshes/leg_ab_FL.STL,,leg_motor_moudle-1,cod_hip <leg_motor_moudle-1>,line_ab_1 <body_struct-1>,joint_ab_FL,revolute,0.04,-0.067117,-0.01,0,0.084312,3.1416,base_link,0,-1,0,1,0,-0.78,0.78,,,,,,,,
leg_hip_FL,-0.025561,-0.01099,-0.025634,0,0,0,0.021021,5.1575E-06,-3.4462E-08,-2.2133E-08,2.3302E-06,-2.0878E-06,3.3639E-06,0,0,0,0,0,0,package://dog_1.SLDASM/meshes/leg_hip_FL.STL,1,1,1,1,0,0,0,0,0,0,package://dog_1.SLDASM/meshes/leg_hip_FL.STL,,leg_bone_2-5,cod_hip <leg_motor_moudle-1>,line_hip <leg_motor_moudle-1>,joint_hip_FL,revolute,0,0,0,0,0,0,leg_ab_FL,1,0,0,1,0,0,1.57,,,,,,,,
leg_knee_FL,-0.0068697,0.049653,0.00032046,0,0,0,0.0099931,2.513E-06,-2.0041E-08,9.4607E-10,1.6234E-07,-1.0125E-08,2.4283E-06,0,0,0,0,0,0,package://dog_1.SLDASM/meshes/leg_knee_FL.STL,1,1,1,1,0,0,0,0,0,0,package://dog_1.SLDASM/meshes/leg_knee_FL.STL,,leg_bone_1-1,cod_down <leg_bone_1-1>,line_knee <leg_bone_2-5>,joint_knee_FL,revolute,-0.0173,-0.081412,-0.078602,-0.86329,0,0,leg_hip_FL,-1,0,0,1,0,0,1.57,,,,,,,,
