Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.026962,0.066596,0.16937,0,0,0,0.16894,0.00040418,8.9282E-19,4.9115E-19,0.00014291,-1.841E-21,0.00054429,0,0,0,0,0,0,package://dog_n1/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://dog_n1/meshes/base_link.STL,,body-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
lab_FL,-0.006915,4.6474E-12,-0.006,0,0,0,0.0038829,1.0465E-07,1.8288E-16,2.7671E-15,3.6456E-07,-2.6021E-13,4.0502E-07,0,0,0,0,0,0,package://dog_n1/meshes/lab_FL.STL,1,1,1,1,0,0,0,0,0,0,package://dog_n1/meshes/lab_FL.STL,,bone_ab-1,Origin_jab_FL,Axis_jab_FL,jab_FL,continuous,-0.013038,-0.16937,0.1506,3.1416,0,-0.0013907,base_link,0,0,1,3,3.14,1.57,-1.57,,,,,,,,
lhip_FL,0.0645400106619605,-0.00812149401689216,9.71445146547012E-17,0,0,0,0.00960427623809623,1.76741163234082E-07,2.40498792679781E-08,-1.72119741860034E-20,1.92743728772456E-05,-1.64195351591776E-22,1.91609562437376E-05,0,0,0,0,0,0,package://dog_n1/meshes/lhip_FL.STL,1,1,1,1,0,0,0,0,0,0,package://dog_n1/meshes/lhip_FL.STL,,bone_hip-1,Origin_jhip_FL,Axis_jhip_FL,jhip_FL,continuous,-0.017822,0,-0.006,0,-0.69777,-1.5708,lab_FL,0,1,0,3,3.14,-1.57,1.57,,,,,,,,
lknee_FL,0.069957,0.0081181,-5.5519E-11,0,0,0,0.010478,1.8479E-07,-2.6975E-08,1.9435E-14,2.2538E-05,-5.0406E-14,2.2465E-05,0,0,0,0,0,0,package://dog_n1/meshes/lknee_FL.STL,1,1,1,1,0,0,0,0,0,0,package://dog_n1/meshes/lknee_FL.STL,,bone_knee-1,Origin_jknee_FL,Axis_jknee_FL,jknee_FL,continuous,0.13,-0.0060081,0,3.1416,1.4475,0,lhip_FL,0,1,0,3,3.14,-1.57,1.57,,,,,,,,
lab_BL,-0.00691499555315518,-2.30354346708594E-10,0.00600000090144069,0,0,0,0.00388288477743161,1.04650938701616E-07,-9.12605335496674E-15,2.96149096780781E-14,3.6455777692067E-07,-2.59902323116476E-13,4.05017077798676E-07,0,0,0,0,0,0,package://dog_n1/meshes/lab_BL.STL,1,1,1,1,0,0,0,0,0,0,package://dog_n1/meshes/lab_BL.STL,,bone_ab-2,Origin_jab_BL,Axis_jab_BL,jab_BL,continuous,-0.013038,-0.16937,-0.017404,3.1416,0,0.067776,base_link,0,0,1,3,3.14,-1.57,1.57,,,,,,,,
lhip_BL,0.06454,-0.0078933,0,0,0,0,0.0096043,1.7674E-07,2.405E-08,-3.0374E-21,1.9274E-05,0,1.9161E-05,0,0,0,0,0,0,package://dog_n1/meshes/lhip_BL.STL,1,1,1,1,0,0,0,0,0,0,package://dog_n1/meshes/lhip_BL.STL,,bone_hip-2,Origin_jhip_BL,Axis_jhip_BL,jhip_BL,continuous,-0.01805,0,0.006,0,-0.69834,-1.5708,lab_BL,0,1,0,3,3.14,-1.57,1.57,,,,,,,,
lknee_BL,0.069957,0.0078751,-1.1897E-10,0,0,0,0.010478,1.8479E-07,-2.6975E-08,4.1784E-14,2.2538E-05,-5.0121E-14,2.2465E-05,0,0,0,0,0,0,package://dog_n1/meshes/lknee_BL.STL,1,1,1,1,0,0,0,0,0,0,package://dog_n1/meshes/lknee_BL.STL,,bone_knee-2,Origin_jknee_BL,Axis_jknee_BL,jknee_BL,continuous,0.13,-0.0060229,0,-3.1416,1.3813,0,lhip_BL,0,1,0,3,3.14,-1.57,1.57,,,,,,,,
lab_FR,-0.00691499559610827,1.40776335033621E-10,-0.00600000037431631,0,0,0,0.00388288479996345,1.04650939338363E-07,5.56476888023163E-15,-1.26763488143062E-14,3.64557779026152E-07,-2.60134875017888E-13,4.05017079537463E-07,0,0,0,0,0,0,package://dog_n1/meshes/lab_FR.STL,1,1,1,1,0,0,0,0,0,0,package://dog_n1/meshes/lab_FR.STL,,bone_ab-3,Origin_jab_FR,Axis_jab_FR,jab_FR,continuous,0.066962,-0.16937,0.1506,-3.1416,0,3.0999,base_link,0,0,1,3,3.14,-1.57,1.57,,,,,,,,
lhip_FR,0.06454,-0.013584,-5.5511E-17,0,0,0,0.0096043,1.7674E-07,2.405E-08,2.1262E-20,1.9274E-05,-1.3235E-22,1.9161E-05,0,0,0,0,0,0,package://dog_n1/meshes/lhip_FR.STL,1,1,1,1,0,0,0,0,0,0,package://dog_n1/meshes/lhip_FR.STL,,bone_hip-3,Origin_jhip_FR,Axis_jhip_FR,jhip_FR,continuous,-0.01236,0,-0.006,3.1416,-0.59366,1.5708,lab_FR,0,1,0,3,3.14,-1.57,1.57,,,,,,,,
lknee_FR,0.069957,0.011754,-4.5702E-10,0,0,0,0.010478,1.8479E-07,-2.6975E-08,1.602E-13,2.2538E-05,-4.9765E-14,2.2465E-05,0,0,0,0,0,0,package://dog_n1/meshes/lknee_FR.STL,1,1,1,1,0,0,0,0,0,0,package://dog_n1/meshes/lknee_FR.STL,,bone_knee-3,Origin_jknee_FR,Axis_jknee_FR,jknee_FR,continuous,0.13,-0.0078347,0,0,-1.5018,3.1416,lhip_FR,0,1,0,3,3.14,-1.57,1.57,,,,,,,,
