Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.026961,0.06548,0.16936,0,0,0,0.16551,0.0003923,-4.0965E-09,4.6826E-10,0.0001428,-1.6727E-08,0.00053235,0,0,0,0,0,0,package://dog_n2/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://dog_n2/meshes/base_link.STL,,body-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
lab_FL,-0.00691499568551896,2.77555756156289E-17,-0.00599999989355071,0,0,0,0.00388288484712263,1.04650940823322E-07,1.00032122416166E-21,3.28972437877794E-15,3.64557783410698E-07,-2.60206831303292E-13,4.05017083306772E-07,0,0,0,0,0,0,package://dog_n2/meshes/lab_FL.STL,1,1,1,1,0,0,0,0,0,0,package://dog_n2/meshes/lab_FL.STL,,bone_ab-1,Origin_jab_FL,Axis_jab_FL,jab_FL,continuous,-0.013038,-0.16937,0.1506,3.1416,0,0,base_link,0,0,1,3,3.14,-1.57,1.57,,,,,,,,
lhip_FL,0.0645400106619605,-0.00794377908090657,0,0,0,0,0.00960427623809624,1.76741163234083E-07,2.40498792680468E-08,-2.57479651861504E-22,1.92743728772456E-05,-4.08541256281297E-23,1.91609562437376E-05,0,0,0,0,0,0,package://dog_n2/meshes/lhip_FL.STL,1,1,1,1,0,0,0,0,0,0,package://dog_n2/meshes/lhip_FL.STL,,bone_hip-1,Origin_jhip_FL,Axis_jhip_FL,jhip_FL,continuous,-0.018,0,-0.006,0,0,-1.5708,lab_FL,0,1,0,3,3.14,-1.57,1.57,,,,,,,,
lknee_FL,0.069957274950244,-0.00794846734311693,0,0,0,0,0.0104780399457648,1.84790039279272E-07,2.69749919961358E-08,-3.86865148882755E-21,2.25383840800217E-05,-5.00777743545239E-14,2.24645808161435E-05,0,0,0,0,0,0,package://dog_n2/meshes/lknee_FL.STL,1,1,1,1,0,0,0,0,0,0,package://dog_n2/meshes/lknee_FL.STL,,bone_knee-1,Origin_jknee_FL,Axis_jknee_FL,jknee_FL,continuous,0.13,-0.006,0,0,0,0,lhip_FL,0,1,0,3,3.14,-1.57,1.57,,,,,,,,
lab_BL,-0.00691499568551892,5.55111512312578E-17,0.00600000010644931,0,0,0,0.00388288484712262,1.04650940823322E-07,9.50350148669715E-22,3.28972454530459E-15,3.64557783410697E-07,-2.60206831266288E-13,4.05017083306771E-07,0,0,0,0,0,0,package://dog_n2/meshes/lab_BL.STL,1,1,1,1,0,0,0,0,0,0,package://dog_n2/meshes/lab_BL.STL,,bone_ab-2,Origin_jab_BL,Axis_jab_BL,jab_BL,continuous,-0.013038,-0.16937,-0.017404,3.1416,0,0,base_link,0,0,1,3,3.14,-1.57,1.57,,,,,,,,
lhip_BL,0.0645400106619605,-0.00794377908090659,-2.77555756156289E-17,0,0,0,0.00960427623809622,1.76741163234083E-07,2.40498792680504E-08,8.34147633492078E-21,1.92743728772456E-05,-1.67171012541295E-23,1.91609562437376E-05,0,0,0,0,0,0,package://dog_n2/meshes/lhip_BL.STL,1,1,1,1,0,0,0,0,0,0,package://dog_n2/meshes/lhip_BL.STL,,bone_hip-2,Origin_jhip_BL,Axis_jhip_BL,jhip_BL,continuous,-0.0179999999999999,0,0.00600000000000009,0,0,-1.5707963267949,lab_BL,0,1,0,3,3.14,-1.57,1.57,,,,,,,,
lknee_BL,0.0699572750687382,0.00794491809239425,-0.000237472168225623,0,0,0,0.0104780399457648,1.84790038475002E-07,-2.69626172229234E-08,8.05907772502997E-10,2.25383182007561E-05,-2.20404719863234E-09,2.24646466962135E-05,0,0,0,0,0,0,package://dog_n2/meshes/lknee_BL.STL,1,1,1,1,0,0,0,0,0,0,package://dog_n2/meshes/lknee_BL.STL,,bone_knee-2,Origin_jknee_BL,Axis_jknee_BL,jknee_BL,continuous,0.13,-0.00600000000000046,0,-3.11171173046313,0,0,lhip_BL,0,0.999553598432897,-0.0298764766973523,3,3.14,-1.57,1.57,,,,,,,,
lab_FR,-0.00691499568551894,0,-0.00599999989355079,0,0,0,0.00388288484712262,1.04650940823322E-07,8.86955923269881E-22,3.28972315210084E-15,3.64557783410697E-07,-2.6020683129909E-13,4.05017083306771E-07,0,0,0,0,0,0,package://dog_n2/meshes/lab_FR.STL,1,1,1,1,0,0,0,0,0,0,package://dog_n2/meshes/lab_FR.STL,,bone_ab-3,Origin_jab_FR,Axis_jab_FR,jab_FR,continuous,0.066962,-0.16937,0.1506,-3.1416,0,-3.1416,base_link,0,0,1,3,3.14,-1.57,1.57,,,,,,,,
lhip_FR,0.0645400106619606,0.00794377908090611,-5.55111512312578E-17,0,0,0,0.00960427623809623,1.76741163234083E-07,-2.4049879267914E-08,3.77144199234386E-21,1.92743728772456E-05,-6.71316368719996E-22,1.91609562437376E-05,0,0,0,0,0,0,package://dog_n2/meshes/lhip_FR.STL,1,1,1,1,0,0,0,0,0,0,package://dog_n2/meshes/lhip_FR.STL,,bone_hip-3,Origin_jhip_FR,Axis_jhip_FR,jhip_FR,continuous,-0.018,0,-0.00600000000000001,0,0,1.5707963267949,lab_FR,0,1,0,3,3.14,-1.57,1.57,,,,,,,,
lknee_FR,0.0699572749502441,0.00794846734311642,0,0,0,0,0.0104780399457648,1.84790039279272E-07,-2.69749919959799E-08,3.14260248069787E-21,2.25383840800217E-05,-5.00777738781173E-14,2.24645808161436E-05,0,0,0,0,0,0,package://dog_n2/meshes/lknee_FR.STL,1,1,1,1,0,0,0,0,0,0,package://dog_n2/meshes/lknee_FR.STL,,bone_knee-3,Origin_jknee_FR,Axis_jknee_FR,jknee_FR,continuous,0.13,0.00599999999999953,0,0,0,0,lhip_FR,0,1,0,3,3.14,-1.57,1.57,,,,,,,,
